,0
0,976690.7375798691
1,981806.217275299
2,977034.3010453389
3,976797.701571334
4,979663.8745876988
5,982130.7980528888
6,950233.3416366624
7,929468.8660671529
8,941187.6293955446
9,933319.0350049511
10,952150.3177708116
11,952647.5477399437
12,947746.1748700119
13,950947.8633389289
14,950181.7503118791
15,950302.0470550392
16,926825.6748181795
17,934263.2409460446
18,923192.4773214179
19,923235.1596283137
20,936237.3214316816
21,940647.9599456923
22,942310.2089204391
23,940338.972686338
24,948531.0996212083
25,952379.0332227946
26,970113.3518415154
27,972862.5932734811
28,968767.0984668905
29,957313.535563989
30,955120.5145326655
31,950362.527945321
32,955623.9448452482
33,959563.4159010819
34,951461.4467429512
35,929714.5593184391
36,932190.2938155966
37,928722.597217246
38,938090.4468301954
39,942827.6760949986
40,959788.1187324009
41,958008.8948218581
42,966768.594660666
43,969878.1612199461
44,947277.1225346272
45,950795.0001061567
46,932975.0069220251
47,933266.7529643218
48,935633.5677896552
49,938620.482769686
50,939811.209427218
51,924354.6521906392
52,901870.7583345165
53,899041.7677846756
54,888865.44898002
55,872140.6704916413
56,864549.198317343
57,834114.3618111692
58,874346.9366907481
59,883062.1900299402
60,882835.3893478371
61,894631.2262498603
62,891610.6016790154
