,0
0,984887.6667465963
1,970863.5552930926
2,964210.3284102185
3,966599.8666693732
4,976358.8252196492
5,985630.684460772
6,984615.6872313857
7,989423.3230295132
8,982920.9371404025
9,984954.5956501653
10,980641.6129360613
11,984352.5247440373
12,993191.0995713902
13,998127.9000753906
14,995037.0672035173
15,991413.823315156
16,994295.3383689945
17,991623.1223188874
18,977381.0228137941
19,971742.8880574473
20,962049.2961765504
21,927793.23389071
22,934591.4849824179
23,935027.8403171732
24,948400.146509882
25,941661.1588163063
26,928218.9195831784
27,941808.8093945917
28,913367.5031521871
29,921943.100255004
30,936921.1302049063
31,945522.9549611739
32,936342.3648288161
33,941641.3568492809
34,941005.6673251176
35,915074.928625288
36,922930.2626825302
37,921623.2970109843
38,928570.9087045877
39,943515.1181845474
40,945657.5728927869
41,935806.6923471761
42,947076.1163397585
43,964172.7820273441
44,964579.7384586363
45,963111.3819809543
46,957926.884927672
47,955554.5713333949
48,966520.0353969124
49,967953.6737836613
50,960728.2835371247
51,960400.8837321702
52,958320.7823461866
53,960827.03197526
54,953625.2872419507
55,955568.62384653
56,950728.213146931
57,955050.6811669377
58,955462.5386506653
59,951078.0614355588
60,947760.2664178465
61,939576.4827775016
62,919574.7349950969
