,0
0,8885.942998544313
1,-770.2893278324045
2,13668.749479441904
3,-1486.381659183884
4,-9926.173417140264
5,-8959.219100200338
6,-516.2259850483388
7,18407.938173793256
8,14937.747717190767
9,-1721.4564840521198
10,15979.371148180217
11,15288.274559305515
12,-3882.2680723958183
13,7767.099267605459
14,-802.5761114882771
15,758.1546296889428
16,-14906.0375611044
17,9792.910302800825
18,1139.688025077805
19,328.0203762338497
20,13276.221630281769
21,9937.003749673022
22,-6434.024823603919
23,8652.130591788096
24,-440.41692028706893
25,3050.2189951199107
26,-6180.151648422936
27,-576.938628918957
28,1461.712011046242
29,-1303.230249490589
30,5968.488519500475
31,-1068.3022257005796
32,-569.6539404592477
33,-9693.52854865999
34,12975.39890685142
35,15268.274663955206
36,-2130.9796350463293
37,-41372.58983690548
38,3987.168790746946
39,-34505.73691817839
40,-8072.995393979363
41,32687.343784186756
42,-3742.897558050696
43,21859.875352406176
44,15538.162729291478
45,-4890.036664379761
46,-1600.2152148401365
47,8355.317414827878
48,-20248.547007583547
49,2261.529884128133
50,2485.730603108881
51,13233.119931844529
52,-29210.23533379822
53,-14035.396964749787
54,16677.678203243995
55,8964.003061537165
56,8140.562856265809
57,14844.995865943143
58,4965.263548119925
59,1391.5001724211033
60,-4004.433812172385
61,4345.393555468647
