,0
0,919421.1923911354
1,938548.3952159439
2,915051.9001567033
3,916827.658035768
4,937013.7742703039
5,929342.2484774607
6,942132.2351225314
7,939557.8609731122
8,947991.7520908944
9,956471.855131504
10,948769.1777415745
11,940469.1809649693
12,931925.967677215
13,931084.2162176658
14,903285.1256523232
15,904692.4129273426
16,911427.7849332932
17,910068.6042938295
18,904556.8776194076
19,901613.5958252685
20,894912.9372907587
21,894385.0786581291
22,907118.7917346236
23,909499.8671609947
24,908623.889343444
25,920515.8405652364
26,928520.346759208
27,931409.8176652151
28,933550.064705207
29,926737.4841381377
30,932222.1739786406
31,931413.2149848423
32,930117.3599025639
33,940836.0878301538
34,933791.5306850877
35,932710.1765994816
36,929818.613162051
37,924084.7298577362
38,909446.7903297641
39,921343.1424810035
40,911073.571153247
41,919387.14812877
42,924320.9699088138
43,925544.5386895981
44,936799.5128518015
45,944810.2916429964
46,948107.5895072208
47,946686.3314606647
48,947250.952458
49,941637.9852017269
50,938394.5944587359
51,935476.151367297
52,929526.0724682602
53,923009.4856790715
54,918837.4224655476
55,912094.7672015689
56,920818.0863569459
57,909551.7669825731
58,910182.606502835
59,900248.3014690737
60,905829.5772884411
61,906539.9373545825
62,908169.4778241289
