,0
0,1045186.0578043432
1,1038208.2123762018
2,1033274.5126962357
3,1045419.2279355964
4,1047820.4465299306
5,1046619.3212035022
6,1045851.7957009046
7,1052401.4220686452
8,1061562.4419844751
9,1069768.4867836637
10,1076174.377860366
11,1076852.2656444402
12,1076153.1378129823
13,1069813.1641003801
14,1054442.2976182252
15,1036149.6684632375
16,1035272.714352231
17,1029556.8047946094
18,1030282.6997153457
19,1001713.8155085492
20,1011478.982463775
21,1028331.8041605299
22,1046329.0053623719
23,1043348.0509235705
24,1034708.9509850884
25,1037681.0672394122
26,1041501.2188480026
27,1061612.7093926913
28,1058328.3434152133
29,1057706.2754491342
30,1051737.7509448044
31,1060831.8483155298
32,1056073.1269303833
33,1044259.0632686223
34,997493.021915483
35,955300.6992374501
36,954768.393075756
37,924805.0944561658
38,916743.5348973636
39,961302.1544567046
40,926168.1362380319
41,975548.7856213929
42,943311.6186706608
43,927355.8150498497
44,857484.4840187908
45,856627.0113028772
46,848499.0840599041
47,819878.452760734
48,867328.955072196
49,866835.6418007128
50,866835.6418007128
51,866835.6418007128
52,866835.6418007128
53,866835.6418007128
54,859598.8420663652
55,859466.884468917
56,863202.9848025097
57,863051.3743384635
58,855428.457205058
59,867485.8902789971
60,860306.522431104
61,833275.2478068888
62,854704.4023818715
