,0
0,1066867.5819171295
1,1061821.5000384762
2,1065647.6878450369
3,1054273.5175125524
4,1066297.9091467403
5,1066653.7125211235
6,1093406.5991180588
7,1102940.8257781232
8,1098785.9966117374
9,1100825.17005398
10,1098791.4774889655
11,1107847.9275404043
12,1116356.343455045
13,1107610.408974382
14,1102666.48696332
15,1107611.2269873072
16,1100952.4176102658
17,1101427.9404448569
18,1097654.1765833471
19,1094400.9233962253
20,1102565.043521821
21,1107252.5345529225
22,1116678.5294285764
23,1120205.9557670178
24,1129685.7739840695
25,1146008.1164087674
26,1147097.6056622271
27,1155322.2416130798
28,1150824.914219392
29,1152002.8821860782
30,1149418.594592967
31,1145130.1372692934
32,1140991.9382588507
33,1140303.4648517387
34,1142260.6967523135
35,1166623.4672811304
36,1162620.3347092373
37,1161678.4228142472
38,1169284.7818592335
39,1173811.8847659687
40,1164582.0650637066
41,1165009.6201784161
42,1187110.563857619
43,1163804.7421851007
44,1165664.9624202661
45,1139887.7739974377
46,1151370.0562157412
47,1134033.2411532626
48,1142062.9918118264
49,1159892.5230550626
50,1155314.1777767034
51,1157965.938381227
52,1152878.6738554486
53,1143864.277762341
54,1111682.154526194
55,1111721.952258238
56,1092091.6894679135
57,1092491.9128076872
58,1104758.847750925
59,1124090.575263003
60,1111349.2989710788
61,1126334.8543096697
62,1123675.634474293
