,0
0,638.1837061999831
1,2065.210366084939
2,3473.4393380661495
3,1591.7252646931447
4,2525.0381419197656
5,-1686.2002569338074
6,7896.701302520116
7,7971.564703070326
8,-578.8157343505882
9,17178.508011200232
10,-3539.8998489470687
11,1873.891509893234
12,508.9904192513786
13,-1250.0091399857774
14,-2524.018055808381
15,8974.366791052045
16,7447.731224526884
17,-10797.067041736096
18,-15570.125910439994
19,5380.826294905273
20,-4131.283298388706
21,-21047.32790607831
22,-46926.390936071286
23,24313.523918289342
24,-2542.9654270297615
25,-40738.63764825312
26,12194.531158550759
27,17842.63778600481
28,1194.2451542792842
29,12490.206802601577
30,11497.886651925277
31,-3575.6001109043136
32,-8675.009294191725
33,-6566.632801024243
34,11727.307201169431
35,14002.37800716923
36,15440.576766900136
37,-15308.592358238646
38,-25207.940646802657
39,-16673.17564589868
40,-7329.478918513516
41,17164.732886899845
42,8241.774957539747
43,-5239.921020261361
44,5375.661733899848
45,21376.76639839646
46,-10091.698539624456
47,-7199.405871770345
48,-11357.485221543699
49,2568.793147141929
50,5525.017508749617
51,-19223.620795641444
52,2841.8494778652675
53,5871.76727287937
54,-34853.042261471506
55,-23413.45391276665
56,22938.812027927022
57,-10065.381677299389
58,-3262.4628763626097
59,11446.791771817487
60,-23956.94393494248
61,11172.341779026086
