,0
0,962054.0492287204
1,972261.1861483642
2,965366.6446411646
3,959362.3220486172
4,958999.3861313493
5,961835.1536716326
6,974161.7340878374
7,971386.6864506358
8,979023.9282030105
9,979047.1311971026
10,983770.0331237502
11,981602.0088257351
12,984575.6765340877
13,983294.9643486674
14,964449.2330018419
15,963484.8151481684
16,963419.1035498943
17,964558.1370334574
18,961513.3739697438
19,960055.2102383878
20,962474.9441011811
21,961484.4070116114
22,953657.3688768896
23,953321.9582560199
24,951016.0248674233
25,956473.8706402613
26,942730.340073504
27,948627.5312555671
28,949790.4560349486
29,952917.6625820023
30,947050.0696334423
31,942442.6909003102
32,945556.7471342069
33,948552.1051254425
34,937406.2485338601
35,940494.3435449142
36,930920.2040830664
37,919438.0477977555
38,917602.8785561599
39,906099.1450551702
40,908922.2942626505
41,925985.4192390336
42,932353.3392425753
43,940301.2885500189
44,949312.9311160416
45,951791.2522652268
46,951296.9511320161
47,955069.161230068
48,953557.3081848352
49,951331.6590834352
50,949244.4581588957
51,961825.7838555615
52,961689.3039565481
53,973425.8550032047
54,972217.2397831648
55,973765.8643096795
56,967348.2146094827
57,963534.61026278
58,963193.6294524131
59,970579.6527861187
60,975696.3066501993
61,978682.639709512
62,984887.6667465963
