,0
0,854704.4023818715
1,896498.6814855139
2,902515.5027409515
3,942396.928575253
4,949809.7052469504
5,938730.2961486033
6,958708.2073529287
7,951829.7709615881
8,970576.5262659655
9,988981.5416917176
10,965305.9784838542
11,936146.9439830027
12,956155.9106125451
13,963080.9410171993
14,983026.4130535137
15,1000641.5676235091
16,993361.4891218136
17,1012094.2352578702
18,1005687.8089381447
19,984009.2646092176
20,989945.5541201656
21,1002200.2626647372
22,987742.0744588504
23,997679.9809670409
24,1013790.6213745386
25,1012944.8188158217
26,997059.2605544856
27,975410.3920723749
28,1004009.3965136063
29,1008435.0426086988
30,1040060.8619464585
31,1016135.5757437649
32,1028595.0575893009
33,1031554.3589889732
34,1030182.9762235414
35,1045733.3815309398
36,1072528.8297919144
37,1060899.467164904
38,1064929.8049953242
39,1065783.2402194852
40,1086332.0686252688
41,1105927.9228792863
42,1102072.6474755784
43,1128860.5020738945
44,1146943.7053729848
45,1136811.8907121986
46,1118093.8999608648
47,1051592.0066830607
48,1066392.324402561
49,1065360.699194594
50,1095611.1837440568
51,1093533.2927489474
52,1084585.0325574777
53,1076143.730987298
54,1078103.735268898
55,1081009.4314086894
56,1058498.490099838
57,1061931.464274152
58,1037251.238166564
59,1055834.3187589226
60,1071286.597016062
61,1065067.7364992145
62,1066867.5819171295
