,0
0,1000000.0
1,1000638.1837062
2,1002703.3940722849
3,1006176.8334103511
4,1007768.5586750442
5,1010293.596816964
6,1008607.3965600302
7,1016504.0978625503
8,1024475.6625656206
9,1023896.84683127
10,1041075.3548424703
11,1037535.4549935232
12,1039409.3465034164
13,1039918.3369226678
14,1038668.327782682
15,1036144.3097268736
16,1045118.6765179257
17,1052566.4077424526
18,1041769.3407007165
19,1026199.2147902765
20,1031580.0410851818
21,1027448.757786793
22,1006401.4298807147
23,959475.0389446435
24,983788.5628629328
25,981245.597435903
26,940506.9597876499
27,952701.4909462007
28,970544.1287322055
29,971738.3738864848
30,984228.5806890863
31,995726.4673410116
32,992150.8672301073
33,983475.8579359156
34,976909.2251348913
35,988636.5323360608
36,1002638.91034323
37,1018079.4871101301
38,1002770.8947518915
39,977562.9541050888
40,960889.7784591902
41,953560.2995406766
42,970725.0324275765
43,978966.8073851162
44,973726.8863648549
45,979102.5480987547
46,1000479.3144971512
47,990387.6159575267
48,983188.2100857564
49,971830.7248642127
50,974399.5180113546
51,979924.5355201042
52,960700.9147244628
53,963542.764202328
54,969414.5314752074
55,934561.4892137359
56,911148.0353009693
57,934086.8473288963
58,924021.4656515969
59,920759.0027752343
60,932205.7945470518
61,908248.8506121093
62,919421.1923911354
