,0
0,919574.7349950969
1,941402.3735441938
2,934643.0633245524
3,921725.12200987
4,932082.6673547357
5,937413.2000904754
6,951115.1139486453
7,952558.9141450329
8,960354.4655699902
9,956185.2541989228
10,953560.4394643623
11,946544.2200172396
12,951457.1805442057
13,940710.5467514133
14,941839.6022754079
15,953129.7524042137
16,956798.3330043652
17,963904.7064553571
18,960760.6581162105
19,965931.8773849658
20,961346.8809494028
21,969250.4235762253
22,966997.8149069115
23,963492.2796843764
24,963007.9751473904
25,972691.2296549949
26,971941.9471919347
27,971427.2513573839
28,970531.378085022
29,971711.7270440398
30,973670.4973155921
31,983498.9352033887
32,985924.9601317252
33,992207.493601873
34,989346.313897406
35,983552.721724374
36,985443.8078860684
37,991399.2274375947
38,997044.6226850479
39,1002278.4223792086
40,1000569.182555337
41,994501.3454021172
42,989516.0265847883
43,993425.8970782378
44,1001455.6636647424
45,1005845.5790421303
46,1004591.9405759318
47,1004502.704361009
48,1005586.3224780596
49,1012160.6382590953
50,1017411.7149023126
51,1026995.2826730309
52,1025956.6230145425
53,1027684.9642550357
54,1034158.6519467058
55,1034668.0183707117
56,1034220.2595281685
57,1034443.9609692869
58,1039831.6163530486
59,1042937.8301333492
60,1034492.4592813298
61,1036518.4609683163
62,1045186.0578043432
