,0
0,1508141.8696588194
1,1500882.5150258632
2,1483796.339047465
3,1510734.054292782
4,1519462.3986121234
5,1508870.7456661065
6,1513802.886575789
7,1515252.9986617437
8,1496707.1280129792
9,1465116.8692454686
10,1484284.8288699551
11,1503523.080961647
12,1497115.688161098
13,1504909.9521062449
14,1508205.0739099775
15,1508400.2838466566
16,1502209.464305153
17,1512191.3041176926
18,1508156.7778821844
19,1504390.2980069546
20,1515161.6613316236
21,1502851.6454148402
22,1511472.224306319
23,1519826.6498116748
24,1516474.6898509744
25,1526575.5726150034
26,1536100.2209163771
27,1536393.0152542496
28,1533506.1222490952
29,1538167.700661054
30,1526938.7189738133
31,1508250.696779386
32,1504193.1724804628
33,1511320.7588991646
34,1516292.916127857
35,1512365.680050484
36,1512871.7259098722
37,1500621.1246453158
38,1508807.7420018169
39,1509477.3958365603
40,1506856.739226828
41,1504839.4586553446
42,1514378.7842201702
43,1510540.702987355
44,1496725.4330653413
45,1496502.1948802406
46,1484536.0644501545
47,1478781.635242973
48,1485946.1357721714
49,1471696.9213222954
50,1483421.4252961935
51,1482453.920643033
52,1471689.8465826341
53,1456856.3130051987
54,1459280.3059450586
55,1469517.8343941937
56,1482148.7957236557
57,1480466.6150998352
58,1486290.7778947756
59,1470631.672216717
60,1477756.10343767
61,1455606.9338557734
62,1469574.3592451387
