,0
0,60316.95429446141
1,6016.821255437564
2,39881.42583430151
3,7412.776671697386
4,-11079.409098347067
5,19977.911204325384
6,-6878.436391340569
7,18746.75530437741
8,18405.015425752033
9,-23675.563207863364
10,-29159.03450085153
11,20008.96662954241
12,6925.030404654215
13,19945.47203631443
14,17615.154569995357
15,-7280.078501695534
16,18732.74613605661
17,-6406.426319725462
18,-21678.544328927062
19,5936.289510948001
20,12254.708544571535
21,-14458.188205886749
22,9937.906508190441
23,16110.640407497762
24,-845.8025587169686
25,-15885.55826133606
26,-21648.868482110673
27,28599.004441231373
28,4425.646095092525
29,31625.819337759633
30,-23925.28620269359
31,12459.481845536036
32,2959.3013996722875
33,-1371.382765431772
34,15550.40530739841
35,26795.448260974605
36,-11629.362627010327
37,4030.337830420118
38,853.4352241610177
39,20548.82840578351
40,19595.854254017584
41,-3855.2754037079867
42,26787.85459831613
43,18083.203299090266
44,-10131.814660786185
45,-18717.990751333768
46,-66501.89327780413
47,14800.317719500279
48,-1031.625207966892
49,30250.484549462795
50,-2077.890995109454
51,-8948.260191469686
52,-8441.30157017964
53,1960.004281600006
54,2905.696139791282
55,-22510.941308851354
56,3432.9741743139457
57,-24680.22610758792
58,18583.0805923586
59,15452.27825713926
60,-6218.860516847344
61,1799.845417914912
