,0
0,891610.6016790154
1,896063.7441970657
2,899785.8731696951
3,909227.0809385143
4,909930.1683965996
5,911130.7015314816
6,910820.0256346379
7,908666.7571909728
8,911562.7636289281
9,908905.3174502914
10,914236.1542588439
11,922391.9596005393
12,915417.1005338678
13,920027.3008112087
14,915966.4115522561
15,920551.9108692352
16,915247.9934021957
17,915508.9688735902
18,922359.8863585353
19,928377.918502693
20,929916.2600146406
21,932998.6364006281
22,939056.4219518069
23,935348.6715282344
24,928260.4233121079
25,928229.2177097502
26,928421.3424336412
27,936115.8689536568
28,941687.6956896931
29,935417.0823880864
30,948715.208844924
31,948160.7482406016
32,952005.5286409798
33,950157.6432652127
34,957874.3621585721
35,959365.3240338748
36,959953.591362965
37,964728.8673886512
38,965566.1335354334
39,971546.9906453103
40,965653.5256135071
41,962420.4497024082
42,957368.6970873052
43,954800.5337668008
44,953751.8173341876
45,961741.5346763906
46,955505.9332315455
47,962112.1200698877
48,963686.0601079994
49,969306.7315467857
50,966887.7840764886
51,961210.03242613
52,955631.0679375114
53,957386.9925261734
54,938536.741255122
55,939475.2738551437
56,946713.4819318354
57,946586.6118879174
58,946756.0576169967
59,952437.4897018028
60,968015.3614373032
61,963725.847984701
62,962054.0492287204
