,0
0,894.9785524299368
1,-4933.699679966085
2,12144.715239360696
3,2401.2185943342047
4,-1201.1253264283296
5,-767.5255025976803
6,6549.626367740682
7,9161.019915829878
8,8206.044799188618
9,6405.891076702159
10,677.8877840742934
11,-699.1278314578813
12,-6339.973712602165
13,-15370.866482154932
14,-18292.62915498775
15,-876.9541110064602
16,-5715.909557621577
17,725.8949207363185
18,-28568.88420679653
19,9765.166955225752
20,16852.821696754894
21,17997.20120184205
22,-2980.954438801389
23,-8639.099938482163
24,2972.1162543238606
25,3820.151608590386
26,20111.490544688655
27,-3284.365977477981
28,-622.0679660791066
29,-5968.524504329776
30,9094.097370725358
31,-4758.721385146491
32,-11814.063661761
33,-46766.04135313921
34,-42192.32267803291
35,-532.3061616941122
36,-29963.298619590234
37,-8061.559558802168
38,44558.619559340994
39,-35134.01821867272
40,49380.649383360986
41,-32237.16695073212
42,-15955.803620811086
43,-69871.33103105891
44,-857.4727159135509
45,-8127.927242973121
46,-28620.631299170083
47,47450.502311461954
48,-493.3132714831736
49,0.0
50,0.0
51,0.0
52,0.0
53,-7236.799734347616
54,-131.9575974481413
55,3736.1003335926216
56,-151.61046404612716
57,-7622.917133405572
58,12057.433073939173
59,-7179.367847893154
60,-27031.274624215206
61,21429.154574982706
