,0
0,1339178.4116876735
1,1320272.8092692925
2,1329658.6361418087
3,1333135.557874571
4,1333820.1354397107
5,1326222.5355549909
6,1330684.2139809288
7,1332128.0421891343
8,1329963.235521437
9,1313891.8674564043
10,1327149.5575946094
11,1336122.102372063
12,1326583.0240406166
13,1315941.761880014
14,1310525.1446424343
15,1297192.3595350534
16,1262485.3151627653
17,1283182.622266687
18,1254607.3819278886
19,1260950.840208341
20,1283461.285986105
21,1292717.3410247406
22,1314189.5025434012
23,1315782.6495591772
24,1330151.0198554876
25,1330399.3776672767
26,1327087.9083894081
27,1326860.6071487458
28,1327615.4372900329
29,1337232.0753365213
30,1347449.7248731656
31,1337198.131071956
32,1342692.831144761
33,1351586.2889183566
34,1359359.864926145
35,1395432.1283550323
36,1365499.4028787364
37,1343535.7789257022
38,1377032.2396472774
39,1371117.598961825
40,1376731.062269389
41,1368559.3241436076
42,1392610.2191782764
43,1405657.9445063625
44,1406932.6853430637
45,1434744.1841590304
46,1434479.1180144052
47,1453473.5129818278
48,1447598.8143343455
49,1434576.837961918
50,1443870.2968177516
51,1433938.438928179
52,1426723.7076798512
53,1422776.9509504107
54,1411409.163757476
55,1418616.9960813073
56,1429151.3526512466
57,1449196.2566025206
58,1455592.5342469783
59,1448657.2033353336
60,1441170.9668718104
61,1446436.5575267063
62,1456119.8406106594
