,0
0,908169.4778241289
1,914753.7851776197
2,919315.8216878193
3,927149.4587428116
4,934537.5542599568
5,924406.1183525409
6,931911.7963852205
7,931969.4887476596
8,930221.8077740533
9,934740.5083235697
10,935895.6926277184
11,931369.4163543475
12,928308.0126784492
13,930445.727458274
14,935922.428975218
15,944118.1995756752
16,943657.8507108212
17,940362.8171501973
18,937981.5329988028
19,941959.4381684045
20,938157.382150759
21,941381.6215881482
22,946391.5450701555
23,948429.8551313339
24,952717.2286398418
25,954056.0943224147
26,951142.5645619151
27,945088.7942333134
28,939558.5483390718
29,941998.2083303749
30,940610.4710714503
31,951993.7633052511
32,954036.6399200492
33,958247.4422395522
34,960308.8274778755
35,957264.8256606916
36,958218.9834377591
37,961283.1205011404
38,969194.8558367809
39,969291.540848757
40,974291.4111620112
41,968100.6055685455
42,970502.5976926271
43,963139.8820977974
44,960405.6394462558
45,962990.0201478908
46,960184.8979043848
47,963248.7245431254
48,964287.0159226347
49,968639.6881388957
50,974539.3513860727
51,974682.6789237104
52,974044.5081636384
53,978418.3264944144
54,978526.5588219784
55,983518.0949424919
56,983651.1305316091
57,973136.027904639
58,964757.9673218223
59,962304.5473110332
60,966679.2860341575
61,966141.7004375036
62,976690.7375798691
