,0
0,1123675.634474293
1,1142768.0762787452
2,1125477.007733725
3,1144659.146152946
4,1162817.1571709355
5,1168444.968288396
6,1174704.1117023632
7,1158705.8853159763
8,1152793.4648246411
9,1153740.1045687739
10,1157875.1049100999
11,1139769.1946486935
12,1159881.0127922336
13,1171566.7521927531
14,1187473.617346708
15,1174502.169987687
16,1140332.2479069037
17,1123954.1899363832
18,1102373.3188706483
19,1110422.29159358
20,1101203.1911450697
21,1120775.8362590894
22,1142354.5511651433
23,1136350.2359799796
24,1161688.2645157366
25,1158561.0448182297
26,1261255.0721076045
27,1259993.8275615333
28,1258580.9674621583
29,1253694.7936640398
30,1262125.3933220892
31,1280310.8482703979
32,1277963.392164919
33,1261723.0858308994
34,1262367.3701192536
35,1251538.0207556281
36,1276590.5947061952
37,1304789.6792525188
38,1298167.797696434
39,1295073.3975894435
40,1276773.4357473154
41,1289437.3736512526
42,1311482.8446044477
43,1326385.7560303824
44,1333496.627158111
45,1329358.917895919
46,1333372.3814358476
47,1326103.963033309
48,1329858.3480857934
49,1336971.284469299
50,1322639.2735000614
51,1341341.078413912
52,1335654.865760423
53,1335777.3894301811
54,1329828.9029657906
55,1319750.3110597278
56,1312471.736028129
57,1319750.6769675717
58,1321870.4058932744
59,1333352.5434783031
60,1330762.3201496277
61,1337582.3319625491
62,1339178.4116876735
