,0
0,1456119.8406106594
1,1451121.4750153082
2,1447851.5221974396
3,1453651.7762564379
4,1451819.5865143216
5,1448166.2788586451
6,1450041.6028980252
7,1461318.9021278599
8,1466935.2837574591
9,1463269.599135728
10,1453383.216851342
11,1463590.6475135216
12,1446191.8596148384
13,1459193.9571428508
14,1456380.977048823
15,1456089.651575234
16,1455646.5822877977
17,1474606.6199863497
18,1464816.1375643252
19,1476326.5538025468
20,1488111.7211258563
21,1495282.9219176979
22,1511397.7814510844
23,1519553.702768285
24,1523365.6378329035
25,1500384.783471892
26,1483656.8087082251
27,1503577.6776495634
28,1519468.2893335477
29,1519596.7845282687
30,1505671.5367905058
31,1495955.6643328082
32,1499919.4954998882
33,1510577.2871869458
34,1519615.8569769023
35,1511792.44708863
36,1512241.3488260428
37,1528629.912517989
38,1527474.787639469
39,1535119.551821347
40,1536756.5976821773
41,1536433.9971303362
42,1541938.339010111
43,1538136.603940113
44,1533249.8251957358
45,1522825.7766073877
46,1515748.3861055325
47,1514703.3664783284
48,1502771.8292180928
49,1494592.0306855624
50,1488283.1200594627
51,1469619.6988293973
52,1443254.3794093858
53,1467570.614202886
54,1468041.5602607199
55,1467272.730649711
56,1480192.9029780019
57,1486771.1208416654
58,1483203.1027020544
59,1480983.8971762997
60,1489810.8116205363
61,1500182.3324605348
62,1508141.8696588194
