,0
0,36470.56149392226
1,-9245.374770570546
2,4500.663793921471
3,5277.435446860734
4,-9501.162855085917
5,4171.933825499611
6,4066.33330945787
7,-781.1934710550122
8,-29756.870478620986
9,-25809.84173479327
10,-14431.812153359642
11,-16777.843284932664
12,-15160.099839631235
13,2197.428185670171
14,8063.8744156032335
15,-9291.001080996357
16,-6297.907315038843
17,22512.309597687563
18,13175.3245991664
19,13934.760280337883
20,11232.181332022883
21,-8205.609359473223
22,1742.1024406466167
23,1915.9517784321215
24,15346.656451308867
25,7619.361249561654
26,-12730.4479497266
27,-11064.275300242007
28,-8415.249954616651
29,11652.697896784404
30,417.3868587783072
31,-16342.19787407061
32,-342.2749158614315
33,1084.1363365864381
34,-26816.10917266924
35,-17768.76354519627
36,38820.9501944324
37,-20894.503255537245
38,-24613.49907886167
39,15884.441432009451
40,-7602.247836130438
41,-9980.467904646182
42,-48633.67894808622
43,-18978.831629730295
44,17220.946794943884
45,-6090.0884786443785
46,2409.9169944375753
47,-793.553369253641
48,24360.946260652505
49,25278.168747989694
50,7015.701840762747
51,-3945.8611241483595
52,-5254.872882259544
53,12244.082346700598
54,-11726.966295722174
55,14517.325944710989
56,10798.33215033682
57,824.6227571400814
58,17082.05846204213
59,3328.8744742092676
60,-19681.93599993037
61,14227.682308095274
